epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
146,2479.13,0.68695,0.36318,0.84975,0.88793,0.78348,0.85717,0.59477,0.98774,0.49734,0.96134,0.000403335,0.000403335,0.000403335
147,2496.34,0.70564,0.36171,0.84972,0.89862,0.79875,0.88969,0.61416,0.99085,0.48728,0.96502,0.000396262,0.000396262,0.000396262
148,2514.21,0.71075,0.36618,0.85086,0.87233,0.82086,0.87297,0.60108,0.99066,0.47111,0.96712,0.000389188,0.000389188,0.000389188
149,2531.05,0.69726,0.35824,0.85553,0.90957,0.81061,0.87013,0.59585,0.99177,0.47623,0.9668,0.000382115,0.000382115,0.000382115
150,2548.08,0.67842,0.34559,0.85015,0.91034,0.78461,0.86856,0.59291,0.97681,0.47574,0.95492,0.000375041,0.000375041,0.000375041
151,2565.83,0.69533,0.35305,0.85455,0.88119,0.77849,0.87519,0.59925,0.98126,0.47263,0.9584,0.000367967,0.000367967,0.000367967
152,2584.29,0.68196,0.35242,0.84575,0.85988,0.80212,0.88274,0.60983,0.98069,0.4679,0.96002,0.000360894,0.000360894,0.000360894
153,2602.67,0.68974,0.35301,0.8507,0.92523,0.77716,0.87514,0.60525,0.98979,0.48926,0.96875,0.00035382,0.00035382,0.00035382
154,2620.9,0.66033,0.34698,0.84268,0.82762,0.83764,0.88027,0.60723,0.9845,0.49058,0.96121,0.000346747,0.000346747,0.000346747
155,2638.97,0.6767,0.34796,0.85134,0.89298,0.77052,0.85134,0.58512,0.99064,0.50096,0.95857,0.000339673,0.000339673,0.000339673
156,2657.51,0.66926,0.35033,0.84739,0.9148,0.77018,0.8659,0.5945,0.99069,0.48932,0.95876,0.0003326,0.0003326,0.0003326
157,2675.85,0.66205,0.34406,0.84813,0.7995,0.8418,0.87057,0.59619,0.98906,0.49393,0.96204,0.000325526,0.000325526,0.000325526
158,2693.95,0.67843,0.34671,0.85293,0.87966,0.80136,0.86449,0.5931,0.99506,0.48889,0.97172,0.000318453,0.000318453,0.000318453
159,2712.23,0.67183,0.3482,0.85146,0.8092,0.83253,0.84979,0.58417,0.98434,0.4727,0.9605,0.000311379,0.000311379,0.000311379
160,2729.98,0.66972,0.35039,0.85164,0.87077,0.77441,0.85437,0.59077,0.9786,0.4726,0.95321,0.000304306,0.000304306,0.000304306
161,2747.7,0.67911,0.3491,0.84158,0.83471,0.83847,0.87409,0.60692,0.97451,0.4747,0.95698,0.000297232,0.000297232,0.000297232
162,2764.77,0.66407,0.34179,0.85003,0.86698,0.77938,0.84438,0.58403,0.96246,0.48877,0.9466,0.000290158,0.000290158,0.000290158
163,2781.92,0.67277,0.34348,0.84739,0.95552,0.74887,0.87212,0.60637,0.97126,0.46175,0.95323,0.000283085,0.000283085,0.000283085
164,2799.75,0.65932,0.334,0.84909,0.84156,0.81118,0.85796,0.59493,0.96241,0.45704,0.94682,0.000276011,0.000276011,0.000276011
165,2816.38,0.63984,0.32771,0.84714,0.90067,0.79602,0.87363,0.60555,0.9635,0.45255,0.9509,0.000268938,0.000268938,0.000268938
166,2833.59,0.64553,0.33238,0.84742,0.90734,0.79916,0.88039,0.61286,0.98201,0.45856,0.96129,0.000261864,0.000261864,0.000261864
167,2851.3,0.66756,0.34049,0.84146,0.84721,0.80603,0.88716,0.60994,0.99591,0.46875,0.95907,0.000254791,0.000254791,0.000254791
168,2869.38,0.64924,0.34186,0.84494,0.88067,0.77739,0.86574,0.59567,0.98872,0.47138,0.96105,0.000247717,0.000247717,0.000247717
169,2887.19,0.64539,0.33711,0.84738,0.88778,0.78041,0.86125,0.5964,0.99071,0.46816,0.96071,0.000240644,0.000240644,0.000240644
170,2905.11,0.6607,0.34257,0.84667,0.82484,0.82076,0.86622,0.58903,0.99678,0.46743,0.96545,0.00023357,0.00023357,0.00023357
171,2922.94,0.65816,0.34288,0.84482,0.93013,0.77862,0.87721,0.60086,0.99001,0.46342,0.96194,0.000226497,0.000226497,0.000226497
172,2940.33,0.64736,0.33583,0.83949,0.86326,0.81789,0.87099,0.60347,0.99265,0.4673,0.96509,0.000219423,0.000219423,0.000219423
173,2957.68,0.62634,0.32432,0.84376,0.90603,0.79017,0.88966,0.61437,0.9907,0.46623,0.96412,0.000212349,0.000212349,0.000212349
174,2975.47,0.64101,0.33426,0.84613,0.92509,0.78145,0.89764,0.61559,0.98636,0.46356,0.95636,0.000205276,0.000205276,0.000205276
175,2993.63,0.63622,0.33061,0.84847,0.89782,0.83282,0.90515,0.6276,0.98077,0.45693,0.95792,0.000198202,0.000198202,0.000198202
176,3011.23,0.63517,0.3256,0.84306,0.91286,0.77424,0.89234,0.62299,0.97848,0.46908,0.95793,0.000191129,0.000191129,0.000191129
177,3029.09,0.62632,0.32455,0.84422,0.83606,0.85565,0.90507,0.63133,0.97257,0.45723,0.95405,0.000184055,0.000184055,0.000184055
178,3047.25,0.63565,0.32684,0.83575,0.89817,0.82181,0.90649,0.62794,0.98295,0.46306,0.96014,0.000176982,0.000176982,0.000176982
179,3064.8,0.6171,0.32002,0.8344,0.8754,0.83445,0.89925,0.62868,0.98375,0.46423,0.95962,0.000169908,0.000169908,0.000169908
